Column,ID_cost,costo_per_wp
925,29745,"0,222"
926,43681,"0,178"
927,35834,"0,356"
928,25826,"0,169"
929,42629,"0,196"
930,44462,"0,4"
931,36376,"0,445"
932,44186,"0,182"
933,24536,"0,8"
934,38014,"0,178"
935,36334,"0,445"
936,31718,"0,315"
937,23215,"0,249"
938,44448,"0,187"
939,9655,"0,445"
940,31485,"0,889"
941,36658,"0,293"
942,40738,"0,18"
943,36664,"0,302"
944,44830,"0,169"
945,35830,"0,222"
946,22233,"0,19"
947,24303,"0,196"
948,44450,"0,169"
949,1108,"0,191"
950,44463,"0,4"
951,42525,"0,156"
952,41977,"0,222"
953,32647,"0,156"
954,37967,"0,187"
955,44470,"0,158"
956,44382,"0,174"
957,44179,"0,172"
958,39871,"0,151"
959,42721,"0,178"
960,37587,"0,218"
961,44821,"0,16"
962,39513,"0,281"
963,42459,"0,711"
964,37155,"0,169"
965,39258,"0,142"
966,29670,"0,124"
967,39626,"0,168"
968,43498,"0,196"
969,44457,"0,173"
970,42623,"0,196"
971,30665,"0,157"
972,44889,"0,189"
973,9625,"0,445"
974,40367,"0,164"
975,37454,"0,316"
976,38597,"0,205"
977,41593,"0,174"
978,44575,"0,149"
979,38010,"0,445"
